archivo,hoja,razon,fila
"16 DE FEBRERO DE 2025.xlsx","16-02-25","parece fecha","2 | 23/06/24 - C. Rojas - 2º a 15 cp de High Commander - 1'38'2/5 - PN |  |  |  |  | 28/09/24 - R. Schneider - 5º a 7 1/2 cp de Arthur Shelby - 52'2/5 - PN |  |  | "
"16 DE FEBRERO DE 2025.xlsx","16-02-25","parece fecha","3 | 08/12/24 - W. Marrades - 4º a 9 cp de Huge Impact - 1'27'1/5 - PB |  |  |  |  | 29/12/24 - S. Barrionuevo - 9º a 21 1/4 cp de He's A Rockstar - 2'7'1/5 - PN |  |  | "
"16 DE FEBRERO DE 2025.xlsx","16-02-25","parece fecha","4 | 08/12/24 - P. Alarcon - 3º a 3 cp de Huge Impact - 1'27'1/5 - PB |  |  |  |  | 29/12/24 - W. Marrades - 4º a 2 1/2 cp de Etoo - 1'18'1/5 - PN |  |  | "
"16 DE FEBRERO DE 2025.xlsx","16-02-25","parece fecha","5 | 08/12/24 - M. Rodriguez - 1º gan x 7 cp a Star Empire - 1'20'2/5 - PB |  |  |  |  | 29/12/24 - M. Rodriguez - 2º a 1/2 pz de Etoo - 1'18'1/5 - PN |  |  | "
"16 DE FEBRERO DE 2025.xlsx","16-02-25","parece fecha","6 | 24/11/24 - F. Brito - 8º a 6 1/2 cp de Joy Fun - 44'2/5 - PN |  |  |  |  | 29/12/24 - L. Medina - 6º a 14 1/4 cp de Mr. Aidan - 1'11'1/5 - PN |  |  | "
"16 DE FEBRERO DE 2025.xlsx","16-02-25","parece fecha","7 | 24/11/24 - R. Ruiz - 7º a 15 1/4 cp de Grystex - 1'18'1/5 - PN |  |  |  |  | 29/12/24 - R. Ruiz - 3º a 2 1/2 cp de Etoo - 1'18'1/5 - PN |  |  | "
"16 DE FEBRERO DE 2025.xlsx","16-02-25","parece fecha","8 | 14/11/24 - D. Arias - 1º gan x 2 cp a Principe Novato - 1'23'2/5 - PN |  |  |  |  | 29/12/24 - C. Caram - 5º a 3 cp de Etoo - 1'18'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","1 | 29/12/24 - R. Camos - 4º a 5 cp de Camino Del Norte - 44'3/5 - PN |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","2 | 08/12/24 - R. Ruiz - 9º a 17 1/2 cp de Army Of Me - 1'14'2/5 - PB |  |  |  |  | 29/12/24 - R. Ruiz - 4º a 10 1/4 cp de Sweet Elementary - 1'17'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","3 | 24/11/24 - J. Vizcarra - 6º a 10 1/4 cp de Sweet Elementary - 45'1/5 - PN |  |  |  |  | 08/12/24 - C. Schultheis - 11º a 32 1/2 cp de Army Of Me - 1'14'2/5 - PB |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","4 | 24/11/24 - R. Camos - 2º a 1 cp de Sweet Elementary - 45'1/5 - PN |  |  |  |  | 29/12/24 - C. Schultheis - 7º a 13 1/2 cp de Camino Del Norte - 44'3/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","5 | 24/11/24 - E. Ortega P.- 5º a 11 1/2 cp de Vieja Amiga Mask - 1'9'2/5 - PN |  |  |  |  | 11/12/24 - E. Ortega P.- 7º a 10 cp de Sicurezza Check - 1'24'2/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","6 | 13/10/24 - J. Guida - 9º a 10 3/4 cp de Vikingo Real - 1'11'3/5 - PH |  |  |  |  | 29/12/24 - J. Vizcarra - 3º a 3 1/2 cp de Camino Del Norte - 44'3/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","7 | 29/12/24 - R. Valdez - 9º a 15 1/2 cp de Camino Del Norte - 44'3/5 - PN |  |  |  |  |  |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","8 | 29/12/24 - F. Brito - 5º a 6 1/2 cp a Camino Del Norte - 44'3/5 - PN |  |  |  |  | 16/02/25 - F. Brito - 2º a 2 cp de Great Daddy - 1'12'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","9 | 13/12/24 - L. Noriega C.- 9º a 23 cp de Padret - 1'11'3/5 - PN |  |  |  |  | 29/12/24 - F. Brito - 10º a 20 3/4 cp de Sweet Elementary - 1'17'1/5 - PN |  |  | "
"23 DE FEBRERO DE 2025.xlsx","23-02-25","vacío","PREMIO 'MACERO' |  |  |  |  |  |  |  |  | "
